CTR,SUMLEV,COUNTY,TRACT,NAME,POP_TOTAL,HU_TOTAL,pop.0to5.yrs,pop.6to11.yrs,pop.12to17.yrs,pop.18to24yrs,pop.25to44yrs,pop.45to54.yrs,pop.55to64.yrs,pop.65plus,pop.65to74.yrs,pop.75plus,Composite.MOS,Tract.prob,Wrkld.18to24.yrs,Wrkld.25to44yrs,Wrkld.45to54yrs,Wrkld.55to64yrs,Wrkld.65plus,Total.wrkld
79,140,3,750101,Census Tract 7501.01,3965,1652,256,284,428,330,1334,435,374,501,249,252,8.24,0.206,8.1,8.0,5.9,8.0,10.0,40.0
80,140,3,750102,Census Tract 7501.02,2533,948,192,293,229,166,703,366,154,412,196,216,5.10,0.128,6.6,6.9,8.0,5.3,13.2,40.0
81,140,3,750201,Census Tract 7502.01,2704,1028,108,173,177,264,753,415,340,544,217,327,7.15,0.179,7.5,5.2,6.5,8.3,12.5,40.0
82,140,3,750202,Census Tract 7502.02,3226,1211,157,318,312,179,917,423,319,610,399,211,7.13,0.178,5.1,6.4,6.6,7.8,14.0,40.0
83,140,3,750203,Census Tract 7502.03,1214,500,47,104,137,71,262,188,115,248,123,125,2.73,0.068,5.3,4.8,7.7,7.4,14.9,40.0
84,140,3,750300,Census Tract 7503,2613,1087,157,234,180,130,728,396,280,404,232,172,5.55,0.139,4.7,6.5,8.0,8.8,11.9,40.0
85,140,3,750400,Census Tract 7504,4071,1606,179,329,315,263,976,681,482,832,493,339,9.97,0.249,5.3,4.9,7.6,8.5,13.7,40.0
86,140,3,750500,Census Tract 7505,3645,1410,225,287,287,180,996,538,331,726,396,330,8.08,0.202,4.5,6.1,7.4,7.2,14.7,40.0
87,140,3,750600,Census Tract 7506,443,175,12,45,23,25,145,98,47,106,75,31,1.22,0.031,4.2,5.9,9.0,6.7,14.2,40.0
88,140,3,750700,Census Tract 7507,917,351,32,63,65,24,287,112,133,208,72,136,2.23,0.056,2.2,6.4,5.6,10.5,15.3,40.0
89,140,3,750801,Census Tract 7508.01,5383,2074,320,518,382,365,1620,791,535,793,434,359,11.67,0.292,6.3,6.9,7.6,8.0,11.1,40.0
90,140,3,750803,Census Tract 7508.03,6723,2876,662,629,491,655,2567,595,454,604,374,230,12.64,0.316,10.5,10.1,5.3,6.3,7.8,40.0
91,140,3,750804,Census Tract 7508.04,3950,1493,283,324,296,317,1235,483,410,591,390,201,8.71,0.218,7.4,7.0,6.2,8.3,11.1,40.0
92,140,3,750900,Census Tract 7509,3064,1290,192,212,286,203,932,424,279,530,212,318,6.77,0.169,6.1,6.8,7.0,7.2,12.8,40.0
93,140,3,751000,Census Tract 7510,3810,1430,265,292,283,304,1118,547,357,639,296,343,8.64,0.216,7.1,6.4,7.1,7.2,12.1,40.0
94,140,3,751102,Census Tract 7511.02,3462,1617,203,204,153,234,1136,499,407,550,400,150,8.03,0.201,5.9,7.0,6.9,8.9,11.2,40.0
95,140,3,751103,Census Tract 7511.03,5623,2231,327,465,571,491,1853,699,624,613,332,281,11.99,0.300,8.3,7.7,6.5,9.1,8.4,40.0
