CTR,SUMLEV,COUNTY,TRACT,BG,POP_TOTAL,HU_TOTAL,pop.0to5.yrs,pop.6to11.yrs,pop.12to17.yrs,pop.18to24.yrs,pop.25to44.yrs,pop.45to54.yrs,pop.55to64.yrs,pop.65plus,pop.65to74.yrs,pop.75plus,Composite.MOS,BG.prob,Wrkld.18to24.yrs,Wrkld.25to44.yrs,Wrkld.45to54.yrs,Wrkld.55to64.yrs,Wrkld.65plus,Total.wrkld
49,150,3,702601,3,1140,454,58,87,59,43,280,202,142,183,101,82,2.50260163,0.062565041,3.484510118,5.561504568,9.011373932,9.946482444,11.99612894,40
50,150,3,702602,1,813,309,29,48,50,40,225,159,86,137,110,27,1.864952288,0.046623807,4.349679555,5.997092983,9.518330132,8.083577842,12.05131949,40
51,150,3,702602,2,2874,1145,263,291,173,115,825,542,300,331,192,139,5.793288734,0.144832218,4.025665297,7.078720497,10.44492865,9.077556901,9.373128656,40
52,150,3,702602,3,2067,957,166,174,160,73,620,386,268,245,118,127,4.397240216,0.109931005,3.366725174,7.00870028,9.800279875,10.68384311,9.140451561,40
53,150,3,702700,1,1618,758,89,101,126,30,418,348,311,207,130,77,3.85473976,0.096368494,1.578305932,5.390228902,10.07895591,14.14289199,8.809617258,40
54,150,3,702700,2,1280,548,122,95,92,50,368,273,116,168,91,77,2.670153011,0.066753825,3.797509359,6.850742749,11.41452551,7.615435417,10.32178696,40
55,150,3,702700,3,3103,1746,175,157,87,191,1380,415,353,330,178,152,6.742004097,0.168550102,5.745255572,10.17457001,6.872115493,9.178222727,8.0298362,40
56,150,3,702700,4,1967,522,34,35,110,300,837,253,171,197,61,136,4.824619065,0.120615477,12.61023626,8.623596336,5.854487155,6.213066198,6.698614048,40
57,150,3,702800,1,430,17,0,0,46,24,247,75,45,15,4,11,0.89668436,0.022417109,5.427960075,13.69251889,9.337982028,8.797227401,2.74431161,40
58,150,3,706101,1,1536,774,37,47,51,463,431,172,146,130,41,89,4.536063118,0.113401578,20.69983575,4.723067705,4.23331634,5.642176477,4.701603725,40
59,150,3,706101,2,769,349,101,80,77,65,189,103,10,111,41,70,1.350967164,0.033774179,9.757387679,6.954133133,8.511846758,1.297561962,13.47907047,40
60,150,3,706101,3,1320,685,39,61,99,91,516,215,189,181,120,61,3.273291556,0.081832289,5.637956226,7.835938188,7.333058249,10.12161965,9.071427692,40
61,150,3,706300,1,1181,678,43,92,62,27,440,191,206,163,75,88,2.788060362,0.069701509,1.963932647,7.844702792,7.648258537,12.95203315,9.591072872,40
62,150,3,706300,2,2285,1443,79,50,78,79,758,388,278,502,206,296,5.702593386,0.142564835,2.809439491,6.607281188,7.596100195,8.545653688,14.44152544,40
63,150,3,706300,3,2379,1186,274,153,189,233,745,293,154,355,197,158,5.055750808,0.12639377,9.346204051,7.324814029,6.470134747,5.339590602,11.51925657,40
64,150,3,706300,4,1983,1213,21,54,39,125,706,428,264,293,148,145,5.064308532,0.126607713,5.005585158,6.929637791,9.43528402,9.138116064,9.491376968,40
65,150,3,706401,1,2375,909,145,205,170,151,995,280,181,300,137,163,4.807157881,0.120178947,6.370207204,10.28870428,6.502809184,6.600291069,10.23798826,40
66,150,3,706401,2,2036,875,128,173,80,107,663,390,267,185,160,25,4.383758865,0.109593972,4.949964884,7.517836239,9.932288249,10.6767114,6.923199232,40
67,150,3,706401,3,1325,494,57,57,22,293,376,190,117,117,72,45,3.475653071,0.086891327,17.09606647,5.377462802,6.103072737,5.900955518,5.522442468,40
68,150,3,706402,1,1063,624,37,42,7,121,290,206,195,164,106,58,3.075993165,0.076899829,7.97746673,4.686392095,7.476756195,11.11276535,8.746619627,40
69,150,3,706402,2,2187,961,192,146,147,235,791,237,169,279,169,110,4.720791919,0.118019798,10.09527146,8.328899377,5.60486108,6.275448149,9.695519932,40
70,150,3,706500,1,758,305,106,22,71,103,92,118,59,170,54,116,1.921665019,0.048041625,10.8698747,2.379776288,6.855445583,5.382043782,14.51285965,40
71,150,3,706500,2,673,290,29,40,13,72,203,115,98,134,90,44,1.917329543,0.047933239,7.615540459,5.262901765,6.696262055,8.959880361,11.46541536,40
72,150,3,706500,3,1483,749,101,103,59,170,695,171,88,123,66,57,3.092955881,0.077323897,11.14654295,11.16958582,6.172395561,4.987487798,6.523987868,40
73,150,3,706500,4,1423,603,59,106,94,105,440,228,176,167,94,73,3.171720355,0.079293009,6.713660985,6.895786028,8.025485652,9.727263434,8.6378039,40
74,150,3,706600,1,756,338,40,34,19,58,106,204,126,120,58,62,2.03950303,0.050987576,5.76724812,2.583494257,11.16701701,10.82976641,9.652474203,40
75,150,3,706600,2,1796,795,101,131,126,86,498,236,197,322,164,158,3.897528578,0.097438214,4.474805266,6.351349689,6.760114622,8.860328362,13.55340206,40
76,150,3,706600,3,634,393,22,24,32,19,181,69,123,171,94,77,1.754200984,0.043855025,2.196540666,5.128911609,4.391380868,12.29132381,15.99184304,40
77,150,3,706600,4,914,395,84,65,40,32,384,124,45,113,42,71,1.646184111,0.041154603,3.942181088,11.59521508,8.409586548,4.791891845,11.26112544,40
78,150,3,706600,5,1051,314,121,240,227,164,270,96,45,23,14,9,1.726484588,0.043162115,19.26398537,7.773686968,6.2078311,4.569016298,2.185480263,40
79,150,3,706700,1,649,197,96,63,26,8,305,23,14,13,13,0,0.598448322,0.014961208,2.710992591,25.33373221,4.290743441,4.100853749,3.563678008,40
80,150,3,706700,2,134,40,7,51,46,0,73,21,0,5,0,5,0.169836105,0.004245903,0,21.36578374,13.80449863,0,4.829717635,40
81,150,3,706700,3,3481,26,0,0,13,3433,26,6,20,0,0,0,17.54189645,0.438547411,39.68827817,0.07367545,0.038186167,0.199860216,0,40
82,150,3,707001,1,3361,1386,394,258,271,241,1281,501,318,218,85,133,6.499777376,0.162494434,7.519406408,9.796628465,8.605391019,8.576331062,5.502243045,40
83,150,3,707001,2,592,317,16,27,53,37,123,118,51,83,56,27,1.233698407,0.03084246,6.082158275,4.955895011,10.67835533,7.246596356,11.03699503,40
84,150,3,707001,3,1749,661,143,165,173,76,473,284,188,175,83,92,3.307399904,0.082684998,4.66006399,7.108867527,9.586564433,9.964236776,8.680267273,40
85,150,3,707002,1,1080,464,87,106,60,24,349,113,128,73,62,11,1.731115963,0.043277899,2.811577622,10.02132751,7.287585237,12.96154308,6.917966545,40
86,150,3,707002,2,2156,807,81,241,264,148,753,378,157,168,112,56,4.118190357,0.102954759,7.28820023,9.088967466,10.24747217,6.68291803,6.692442105,40
87,150,3,707002,3,1526,657,136,106,143,102,480,282,139,200,116,84,3.330130266,0.083253257,6.21160666,7.164831893,9.454079523,7.316889176,9.852592748,40
88,150,3,708000,1,1691,714,100,155,118,133,528,223,214,211,144,67,3.756070381,0.09390176,7.180966769,6.987570314,6.628305342,9.987411662,9.215745912,40
89,150,3,708000,2,2537,1038,165,246,155,178,609,430,244,442,256,186,5.741502878,0.143537572,6.287230939,5.272513444,8.361308234,7.449671775,12.62927561,40
90,150,3,708000,3,1297,425,77,99,152,94,359,284,109,74,42,32,2.496549751,0.062413744,7.635766267,7.147928729,12.70016841,7.653483884,4.862652707,40
91,150,3,708000,4,1114,404,48,95,148,67,344,157,107,135,89,46,2.227968392,0.05569921,6.098608783,7.674947393,7.867232629,8.418750746,9.940460449,40
92,150,3,708000,5,2207,1047,133,200,184,106,655,387,301,289,150,139,4.935911415,0.123397785,4.355153894,6.596292922,8.753363691,10.6898605,9.60532899,40
93,150,3,730100,1,442,173,0,65,49,22,144,80,35,67,47,20,0.94194541,0.023548635,4.736548015,7.599110294,9.481905394,6.513511876,11.66892442,40
94,150,3,730100,2,100,42,18,9,7,0,47,0,0,0,0,0,0.05840686,0.001460171,0,40,0,0,0,40
95,150,3,730100,3,2165,869,256,144,101,141,870,197,191,247,127,120,4.195916755,0.104897919,6.814864838,10.3066702,5.241682699,7.979568422,9.657213845,40
96,150,3,730100,4,1476,606,126,86,39,134,608,253,84,116,68,48,2.984951625,0.074623791,9.10400523,10.12493566,9.462689481,4.93304285,6.375326781,40
97,150,3,730100,5,1935,736,170,212,193,122,661,245,208,129,81,48,3.564382146,0.089109554,6.941296064,9.21813767,7.673847949,10.22944271,5.937275605,40
98,150,3,730203,1,1649,583,106,221,121,84,483,219,210,224,175,49,3.476343604,0.08690859,4.900287802,6.906379278,7.033197029,10.58935476,10.57078113,40
99,150,3,730203,2,2142,1398,191,94,162,421,702,150,120,294,103,191,5.157163323,0.128929083,16.55526771,6.766315073,3.247220191,4.078901895,9.352295133,40
100,150,3,730203,3,1127,546,86,68,27,169,398,125,115,87,46,41,2.561093025,0.064027326,13.38216403,7.724737117,5.448990173,7.871280446,5.572828238,40
101,150,3,730204,1,2169,683,137,244,169,192,674,298,235,242,128,114,4.665133939,0.116628348,8.346456015,7.181609215,7.131543112,8.83032411,8.510067548,40
102,150,3,730204,2,2178,694,304,302,200,138,829,223,58,93,70,23,2.98786319,0.07469658,9.366630236,13.79176386,8.332503797,3.402829467,5.106272637,40
103,150,3,730204,3,1139,424,80,83,90,69,313,165,133,184,175,9,2.536819683,0.063420492,5.516002947,6.133109644,7.261489446,9.190411163,11.8989868,40
104,150,3,730300,1,1328,508,132,48,107,79,476,90,151,221,145,76,2.81138028,0.070284507,5.698656696,8.416147699,3.573997795,9.415215227,12.89598258,40
105,150,3,730300,2,1282,455,137,134,81,121,386,184,93,134,74,60,2.563843868,0.064096097,9.571032559,7.483792208,8.012307599,6.358640525,8.574227109,40
106,150,3,730300,3,483,202,12,38,31,35,123,109,53,81,49,32,1.199001022,0.029975026,5.919887974,5.099311566,10.14935187,7.748706571,11.08274202,40
107,150,3,730401,1,446,230,34,35,40,36,194,55,23,52,12,40,0.89117459,0.022279365,8.19227841,10.8209384,6.890190975,4.524159838,9.572432376,40
108,150,3,730401,2,1947,732,173,172,156,159,685,330,105,137,55,82,3.600459241,0.090011481,8.955796629,9.457114836,10.23263318,5.112158369,6.242296982,40
109,150,3,730401,3,1744,657,63,184,175,101,574,160,188,270,183,87,3.603192167,0.090079804,5.684587379,7.918637417,4.957513699,9.146255384,12.29300612,40
110,150,3,730402,1,2015,921,200,154,194,261,782,238,178,165,101,64,4.416111039,0.110402776,11.98575842,8.802230931,6.01683826,7.065662951,6.129509435,40
111,150,3,730402,2,2250,877,105,155,147,182,677,276,239,335,219,116,4.955709487,0.123892737,7.447843566,6.79061048,6.217769351,8.454052895,11.08972371,40
112,150,3,730402,3,1578,681,146,97,85,171,482,195,123,244,166,78,3.549958586,0.088748965,9.768723592,6.749160276,6.132572481,6.0737194,11.27582425,40
113,150,3,730502,1,1705,585,78,204,191,137,428,302,250,205,143,62,4.005734098,0.100143352,6.935909972,5.311138683,8.416977974,10.94033928,8.395634089,40
114,150,3,730502,2,1885,831,64,107,201,244,647,271,149,173,49,124,4.159983243,0.103999581,11.89496703,7.731053691,7.272924423,6.278668969,6.822385888,40
115,150,3,730502,3,2019,681,178,192,143,121,802,254,124,93,62,31,3.243883192,0.08109708,7.564585925,12.28952651,8.741780031,6.700841986,4.703265545,40
116,150,3,730503,1,2569,1365,185,142,92,479,1170,252,186,81,59,22,5.733155719,0.143328893,16.94364225,10.14420726,4.907249822,5.687116247,2.317784421,40
117,150,3,730503,2,2955,1391,282,173,334,389,1199,284,74,190,78,112,5.358423596,0.13396059,14.72236417,11.12264639,5.91715114,2.420848303,5.816989994,40
118,150,3,730503,3,1041,520,51,46,58,193,451,93,91,44,26,18,2.37778707,0.059444677,16.46073963,9.428217023,4.366579308,6.708745707,3.035718336,40
119,150,3,730503,4,1378,597,110,161,68,164,561,92,84,94,67,27,2.539052146,0.063476304,13.09897234,10.9829051,4.045270542,5.799366624,6.073485397,40
120,150,3,730504,1,2554,893,214,215,271,190,988,402,132,74,65,9,4.195066358,0.104876659,9.185012749,11.70695906,10.69839388,5.515793458,2.893840852,40
121,150,3,730504,2,2429,1030,158,206,241,254,921,332,175,152,110,42,4.749253275,0.118731332,10.84609448,9.639628329,7.80448262,6.459302399,5.250492174,40
122,150,3,730504,3,2063,751,134,227,249,127,681,296,177,159,113,46,3.744115123,0.093602878,6.878908371,9.04115486,8.826202397,8.286992993,6.96674138,40
123,150,3,730504,4,645,219,40,53,92,52,215,106,105,20,10,10,1.368851372,0.034221284,7.703924991,7.807430995,8.645317249,13.44639617,2.396930594,40
124,150,3,730601,1,2086,610,237,269,306,68,545,469,141,56,24,32,3.178635054,0.079465876,4.338436465,8.52279071,16.47265259,7.775912113,2.890208121,40
125,150,3,730601,2,1467,508,55,88,145,45,246,277,338,264,161,103,3.870977992,0.09677445,2.357527726,3.158932855,7.988963406,15.30625334,11.18832267,40
126,150,3,730601,3,1248,393,133,126,92,85,362,231,105,144,100,44,2.576282744,0.064407069,6.690990273,6.984591899,10.01036286,7.1444479,9.169607068,40
127,150,3,730601,4,1745,566,114,204,214,105,388,365,195,105,64,41,3.318462194,0.082961555,6.416784027,5.811936241,12.27968864,10.30079244,5.190798652,40
128,150,3,730603,1,1258,444,56,68,86,60,315,146,145,222,170,52,2.649083373,0.066227084,4.593255683,5.910727218,6.153023786,9.595006528,13.74798679,40
129,150,3,730603,2,1645,521,127,248,245,76,506,320,149,94,73,21,2.945768218,0.073644205,5.232147967,8.538428275,12.1278208,8.866671023,5.23493194,40
130,150,3,730604,1,1964,679,137,223,196,83,538,361,249,186,107,79,3.951019089,0.098775477,4.260238981,6.76860449,10.2006874,11.04747731,7.722991817,40
131,150,3,730604,2,2373,759,222,289,178,123,729,343,233,162,131,31,4.172384116,0.104309603,5.978411787,8.684988244,9.177855203,9.789139935,6.36960483,40
132,150,3,730604,3,1875,616,101,159,228,116,459,349,218,297,106,191,4.306051691,0.107651292,5.463157835,5.298579278,9.048520051,8.874627923,11.31511491,40
133,150,3,730700,1,1536,573,112,129,130,87,428,226,169,293,161,132,3.546053647,0.088651341,4.97552541,5.999629853,7.115321081,8.354381478,13.55514218,40
134,150,3,730700,2,1737,703,150,191,129,57,476,311,201,199,83,116,3.445560227,0.086139006,3.354903305,6.867095657,10.07701508,10.22607823,9.474907727,40
135,150,3,730700,3,651,249,44,43,98,29,157,84,76,91,77,14,1.282864575,0.032071614,4.584396608,6.083378374,7.31020975,10.38498034,11.63703493,40
136,150,3,730700,4,2091,837,158,120,176,84,596,441,232,241,113,128,4.402522203,0.110063055,3.869391993,6.72931247,11.18325942,9.237603751,8.98043236,40
137,150,3,730700,5,635,245,34,90,67,45,163,95,32,135,96,39,1.389773333,0.034744333,6.566493778,5.830014303,7.631519111,4.036257856,15.93571495,40
138,150,3,730800,1,705,265,77,86,63,14,184,81,80,124,91,33,1.384867354,0.034621684,2.050146308,6.604434468,6.529925195,10.12639137,14.68910265,40
139,150,3,730800,2,1619,655,53,105,157,39,313,333,276,303,187,116,3.96836062,0.099209015,1.993051281,3.92066013,9.368379332,12.19188479,12.52602447,40
140,150,3,730901,1,854,312,55,72,106,11,224,125,66,197,104,93,1.780214018,0.04450535,1.253099239,6.254632424,7.839153375,6.498971288,18.15414367,40
141,150,3,730901,2,877,327,54,90,98,31,223,146,88,100,50,50,1.637569874,0.040939247,3.83907725,6.769101291,9.953696182,9.420104728,10.01802055,40
142,150,3,730901,3,393,173,13,0,8,0,55,103,84,119,45,74,1.212006404,0.03030016,0,2.255712597,9.487759667,12.14918851,16.10733923,40
143,150,3,730901,4,915,221,110,76,57,186,394,54,25,12,6,6,1.742130905,0.043553273,21.65195704,11.24194424,3.460543715,2.515545186,1.130009825,40
144,150,3,730902,1,2585,938,182,355,253,139,809,473,239,176,90,86,4.799471819,0.119986795,5.873356356,8.378785368,11.00269463,8.729258493,6.01590515,40
145,150,3,730902,2,697,301,63,50,43,29,112,156,98,132,84,48,1.692466839,0.042311671,3.474904129,3.289454203,10.29048384,10.15029832,12.7948595,40
146,150,3,731001,1,1636,601,139,178,175,77,532,281,178,97,80,17,3.013690238,0.075342256,5.181519195,8.774836054,10.40972061,10.35366932,5.280254817,40
147,150,3,731001,2,2811,1065,204,252,291,194,902,466,233,205,96,109,5.266996733,0.131674918,7.469708919,8.512742145,9.877663629,7.754713748,6.385171559,40
148,150,3,731001,3,1056,348,85,99,68,59,331,130,101,116,80,36,1.991675382,0.049791885,6.007564659,8.261053381,7.287124039,8.889466909,9.554791012,40
149,150,3,731001,4,1700,595,145,182,258,148,507,292,180,71,61,10,3.275423089,0.081885577,9.163456168,7.69425443,9.952835139,9.633364613,3.55608965,40
150,150,3,731001,5,819,323,35,71,33,28,391,131,44,30,16,14,1.309350174,0.032733754,4.336778274,14.84386299,11.16983738,5.89073879,3.758782559,40
151,150,3,731002,1,1630,617,108,234,151,148,574,218,170,55,43,12,3.04269952,0.076067488,9.864331233,9.377321726,7.998872838,9.794059872,2.965414331,40
152,150,3,731002,2,930,367,69,49,53,0,272,162,130,130,68,62,1.893050631,0.047326266,0,7.142210806,9.553976087,12.03799121,11.2658219,40
153,150,3,731101,1,1410,462,77,163,114,84,408,243,137,131,63,68,2.748789989,0.06871975,6.197302896,7.378100941,9.86952106,8.736790177,7.818284926,40
154,150,3,731101,2,3043,1087,248,245,323,213,825,553,390,284,209,75,6.52250278,0.163062569,6.622627498,6.287321461,9.465470874,10.48149504,7.143085124,40
155,150,3,731101,3,3686,1241,347,454,358,286,1218,562,244,183,137,46,6.352047459,0.158801186,9.130977999,9.531462511,9.877657114,6.733626002,4.726276374,40
156,150,3,731102,1,725,278,42,69,98,27,203,143,67,87,75,12,1.43871529,0.035967882,3.805869587,7.013699729,11.09666674,8.16343319,9.92033075,40
157,150,3,731102,2,2920,973,274,290,317,189,844,525,255,204,151,53,5.426555425,0.135663886,7.063217153,7.731151672,10.80106116,8.237374983,6.167195031,40
158,150,3,731102,3,4013,1887,215,255,357,286,1345,742,445,329,215,114,8.491917923,0.212297948,6.830071383,7.873040516,9.755049609,9.186014406,6.355824086,40
159,150,3,731103,1,2117,651,178,207,224,141,527,343,231,300,106,194,4.569833149,0.114245829,6.257253739,5.73239702,8.379635759,8.861036702,10.76967678,40
160,150,3,731103,2,2215,809,243,237,159,193,933,199,116,107,72,35,3.640564178,0.091014104,10.75111767,12.73910574,6.102611878,5.585501811,4.821662908,40
161,150,3,731103,3,1124,363,72,144,143,49,241,284,106,55,25,30,2.030690835,0.050767271,4.893473814,5.899282907,15.61370236,9.150292049,4.44324887,40
162,150,3,731201,1,2065,744,113,174,231,104,651,319,249,285,220,65,4.486717169,0.112167929,4.700776935,7.212374762,7.937675755,9.728447794,10.42072475,40
163,150,3,731201,2,1537,562,54,133,83,62,269,222,141,480,141,339,3.854787101,0.096369678,3.2617922,3.468788917,6.429599809,6.411971964,20.42784711,40
164,150,3,731201,3,857,288,57,117,133,47,322,103,128,14,14,0,1.544284724,0.038607118,6.1721359,10.3646463,7.446311744,14.52966139,1.487244661,40
165,150,3,731201,4,1699,636,117,145,168,98,426,410,159,103,52,51,3.289824011,0.0822456,6.041133139,6.436694887,13.91369746,8.472222591,5.136251926,40
166,150,3,731202,1,1468,550,198,107,173,101,419,259,186,153,74,79,3.198272969,0.079956824,6.40428785,6.512151349,9.040981936,10.19460295,7.847975918,40
167,150,3,731202,2,1223,490,26,126,111,70,367,229,107,201,128,73,2.74340365,0.068585091,5.174558788,6.649704433,9.319167876,6.837021801,12.0195471,40
168,150,3,731202,3,1644,570,65,174,92,73,458,217,216,195,155,40,3.291281048,0.082282026,4.498035602,6.917138937,7.360818849,11.50433928,9.719667329,40
169,150,3,731202,4,974,353,60,126,140,59,331,226,69,8,0,8,1.676440778,0.041911019,7.137215221,9.814445499,15.05052287,7.214957443,0.782858965,40
170,150,3,731202,5,1604,571,56,127,146,110,390,335,181,192,88,104,3.558024758,0.088950619,6.269728241,5.448558664,10.51156079,8.91748748,8.852664823,40
171,150,3,731202,6,598,245,7,16,37,37,101,127,176,77,42,35,1.754672007,0.0438668,4.276325688,2.861221081,8.080516816,17.5828641,7.199072314,40
172,150,3,731203,1,979,366,35,83,114,46,267,130,142,165,113,52,2.22687566,0.055671892,4.189159157,5.959931701,6.517465618,11.17803011,12.15541342,40
173,150,3,731203,2,1936,690,142,182,100,163,605,269,183,145,43,102,3.725705969,0.093142649,8.872459472,8.071844504,8.060742862,8.610243057,6.384710104,40
174,150,3,731203,3,2271,763,158,320,322,130,653,483,168,200,143,57,4.375172017,0.1093793,6.025779244,7.418977238,12.32489883,6.731115585,7.499229101,40
175,150,3,731203,4,858,283,84,125,44,10,265,129,69,52,38,14,1.255717427,0.031392936,1.615002043,10.49010759,11.4690951,9.632301511,6.793493757,40
176,150,3,731203,5,854,286,27,76,108,33,226,182,158,53,31,22,1.865924001,0.0466481,3.586616865,6.020609758,10.88952163,14.84349037,4.659761373,40
177,150,3,731204,1,1353,669,84,62,58,129,500,183,127,204,109,95,3.179373278,0.079484332,8.228358175,7.817258521,6.426003163,7.0022095,10.52617064,40
178,150,3,731204,2,1714,673,151,142,102,88,763,239,166,70,34,36,3.07597418,0.076899354,5.801829795,12.33013531,8.674542524,9.460156077,3.733336298,40
179,150,3,731204,3,1281,481,117,99,120,126,414,117,129,81,47,34,2.377385014,0.059434625,10.748207,8.656190597,5.494367519,9.511808295,5.58942659,40
180,150,3,731204,4,885,335,35,89,142,14,263,167,67,133,78,55,1.703013365,0.042575334,1.667151152,7.676507563,10.94787373,6.89651437,12.81195318,40
181,150,3,731303,1,1536,550,58,144,97,105,447,218,149,170,89,81,3.046487371,0.076162184,6.989641712,7.293468827,7.988927437,8.573532243,9.15442978,40
182,150,3,731303,2,2267,854,136,198,191,142,605,445,296,281,150,131,5.163455055,0.129086376,5.577157905,5.82426281,9.621681461,10.04903154,8.927866288,40
183,150,3,731303,3,1755,603,206,190,192,141,479,357,270,109,95,14,3.936823866,0.098420597,7.263369286,6.048052028,10.12403403,12.0223863,4.542158359,40
184,150,3,731303,4,1164,586,9,33,67,51,207,263,215,251,171,80,3.221504245,0.080537606,3.210528028,3.194019973,9.114406741,11.69910533,12.78193992,40
185,150,3,731306,1,691,273,22,70,59,71,174,110,83,93,49,44,1.628376408,0.04070941,8.842367169,5.311539758,7.541699927,8.935033597,9.369359549,40
186,150,3,731306,2,1403,526,120,135,142,80,408,169,176,147,70,77,2.758505426,0.068962636,5.88140575,7.35211532,6.839812979,11.18437511,8.74229084,40
187,150,3,731306,3,1971,745,140,236,173,67,681,346,193,203,123,80,3.830046738,0.095751168,3.547608824,8.838305889,10.08563832,8.833364152,8.695082813,40
188,150,3,731306,4,774,263,30,124,50,61,170,95,94,78,50,28,1.517526811,0.03793817,8.151892798,5.568504035,6.989057245,10.8583636,8.432182324,40
189,150,3,731306,5,996,394,36,50,65,118,327,240,85,105,63,42,2.477617839,0.061940446,9.658566747,6.560537516,10.81454588,6.013918046,6.952431813,40
190,150,3,731307,1,2399,933,266,241,193,294,1104,209,83,52,29,23,4.022851874,0.100571297,14.82102658,13.64146527,5.800208554,3.616737173,2.120562419,40
191,150,3,731307,2,1424,476,62,139,235,71,446,303,154,51,32,19,2.643964234,0.066099106,5.445876274,8.385042589,12.79435561,10.21028922,3.164436306,40
192,150,3,731307,3,2182,805,185,222,229,111,784,224,115,192,130,62,3.453669961,0.086341749,6.517891745,11.28395172,7.241000044,5.837002862,9.120153625,40
193,150,3,731308,1,2439,958,121,188,177,189,720,302,346,389,203,186,5.807591318,0.145189783,6.599799688,6.162578141,5.805535174,10.44366543,10.98842156,40
194,150,3,731308,2,1081,436,39,44,81,22,271,147,139,319,174,145,2.776068851,0.069401721,1.607153821,4.852494455,5.911782759,8.777229746,18.85133922,40
195,150,3,731309,1,2261,840,286,267,226,184,874,265,95,40,25,15,3.339008298,0.083475207,11.17545778,13.01127705,8.860530821,4.987455182,1.965279172,40
196,150,3,731309,2,2361,894,180,204,178,169,798,452,195,172,101,71,4.670057332,0.116751433,7.338874988,8.493890719,10.80556767,7.319565446,6.042101173,40
197,150,3,731309,3,912,347,78,73,140,38,291,74,71,166,95,71,1.752790826,0.043819771,4.396615662,8.252563743,4.713385845,7.100699869,15.53673488,40
198,150,3,731310,1,2095,767,131,205,123,147,657,305,175,201,152,49,4.004299195,0.10010748,7.444847609,8.155767559,8.503636445,7.660981755,8.234766633,40
199,150,3,731310,2,3323,1049,256,371,454,297,1321,430,174,118,69,49,5.594040033,0.139851001,10.76702885,11.73824683,8.581718223,5.452511339,3.460494758,40
200,150,3,731311,1,2174,721,198,250,240,167,736,315,214,132,77,55,4.119706581,0.102992665,8.220820837,8.880502055,8.536417227,9.105847805,5.256412076,40
201,150,3,731311,2,2933,1059,285,350,234,185,1245,250,120,105,68,37,4.139398399,0.10348496,9.063574284,14.95058251,6.742704799,5.081792382,4.161346028,40
202,150,3,731311,3,2309,768,225,220,205,172,885,269,192,174,37,137,4.277670863,0.106941772,8.154288613,10.28399591,7.020633135,7.868043681,6.673038664,40
203,150,3,740102,1,862,318,24,17,102,83,217,159,113,100,66,34,2.039596076,0.050989902,8.252754425,5.288610173,8.703307371,9.711966482,8.043361549,40
204,150,3,740102,2,3080,248,51,45,26,340,1857,398,206,118,88,30,6.529058007,0.16322645,10.56071658,14.13798012,6.80556067,5.530820864,2.964921768,40
205,150,3,740102,3,203,89,18,10,24,0,61,17,35,29,12,17,0.395574986,0.009889375,0,7.665261994,4.797903013,15.51001157,12.02682342,40
206,150,3,740102,4,1709,738,113,158,153,139,491,337,221,152,88,64,3.847392794,0.09618482,7.326782012,6.343675436,9.779006587,10.06928529,6.481250678,40
207,150,3,740103,1,3002,1053,150,255,310,295,981,564,321,214,138,76,6.573325461,0.164333137,9.101267469,7.41839342,9.57911381,8.560375113,5.340850187,40
208,150,3,740103,2,2557,879,210,286,237,141,1017,341,214,55,34,21,4.093853597,0.10234634,6.984765057,12.34851221,9.299368048,9.163351897,2.204002792,40
209,150,3,740103,3,1981,691,169,125,174,146,518,391,217,170,89,81,4.123447236,0.103086181,7.180545055,6.24446604,10.58638492,9.225123551,6.763480436,40
210,150,3,740104,1,2889,926,205,332,319,222,1025,536,265,78,70,8,5.376554666,0.134413867,8.37363268,9.476452489,11.12992118,8.640019194,2.379974453,40
211,150,3,740104,2,4217,1559,485,489,346,496,1714,344,92,47,47,0,6.200761567,0.155019039,16.22189709,13.74015954,6.193623125,2.600852328,1.243467917,40
