CTR,SUMLEV,COUNTY,TRACT,BG,POP_TOTAL,HU_TOTAL,pop.0to5.yrs,pop.6to11.yrs,pop.12to17.yrs,pop.18to24.yrs,pop.25to44.yrs,pop.45to54.yrs,pop.55to64.yrs,pop.65plus,pop.65to74.yrs,pop.75plus,Composite.MOS,BG.prob,Wrkld.18to24.yrs,Wrkld.25to44.yrs,Wrkld.45to54.yrs,Wrkld.55to64.yrs,Wrkld.65plus,Total.wrkld
250,150,3,740900,1,1285,470,135,80,114,91,489,153,89,149,55,94,2.497209512,0.062430238,7.390118619,9.733742849,6.840184488,6.247523887,9.788430157,40
251,150,3,740900,2,2871,911,296,329,322,179,1076,336,211,176,151,25,4.828986501,0.120724663,7.517302678,11.07598273,7.768097198,7.659481351,5.979136041,40
252,150,3,740900,3,1228,491,99,58,79,112,385,165,130,177,94,83,2.802446197,0.070061155,8.104864092,6.82887929,6.573217847,8.131655437,10.36138333,40
253,150,3,740900,4,737,287,51,17,27,65,108,88,175,149,96,53,2.08738939,0.052184735,6.315022211,2.571853781,4.706635492,14.69628197,11.71020654,40
254,150,3,740900,5,662,243,22,97,76,9,228,54,56,141,69,72,1.303381608,0.03258454,1.400347817,8.695393669,4.625445163,7.531636265,17.74717709,40
255,150,3,741000,1,894,308,23,88,110,98,221,205,77,57,40,17,1.914883049,0.047872076,10.37884004,5.736883215,11.95206569,7.048900329,4.883310727,40
256,150,3,741000,2,844,305,24,49,77,27,197,194,116,110,91,19,1.882671868,0.047066797,2.90839995,5.20136802,11.504254,10.80080823,9.585169795,40
257,150,3,741100,1,238,48,24,8,138,10,42,16,12,0,0,0,0.200139114,0.005003478,10.13288294,10.43141703,8.925229157,10.51047087,0,40
258,150,3,750101,1,720,277,90,40,97,60,242,74,63,103,44,59,1.509996501,0.037749913,8.058242022,7.966460645,5.471257359,7.313706156,11.19033382,40
259,150,3,750101,2,1014,394,16,35,147,77,392,105,124,140,71,69,2.288189215,0.05720473,6.824389222,8.515695481,5.123051596,9.499541625,10.03732207,40
260,150,3,750101,3,888,403,61,75,72,74,253,106,79,123,79,44,1.836104669,0.045902617,8.173334671,6.849345538,6.445250412,7.542278338,10.98979104,40
261,150,3,750101,4,1343,578,89,134,112,119,447,150,108,135,55,80,2.604449501,0.065111238,9.26607941,8.531346321,6.429936485,7.269101174,8.503536611,40
262,150,3,750102,1,1076,380,87,146,168,50,327,187,46,156,77,79,2.023185713,0.050579643,5.011863708,8.034114061,10.31899072,3.985611666,12.64941984,40
263,150,3,750102,2,578,243,19,48,29,44,145,93,40,107,46,61,1.276975446,0.031924386,6.987714094,5.644317632,8.1307717,5.490986094,13.74621048,40
264,150,3,750102,3,879,325,86,99,32,72,231,86,68,149,73,76,1.801231231,0.045030781,8.106399921,6.374828439,5.33040672,6.617780272,13.57058465,40
265,150,3,750201,1,1514,638,79,117,93,179,465,230,182,267,133,134,4.019972101,0.100499303,9.030150519,5.749841907,6.387577199,7.936357963,10.89607241,40
266,150,3,750201,2,1190,390,29,56,84,85,288,185,158,277,84,193,3.133674462,0.078341862,5.500853069,4.568405013,6.590968181,8.838449966,14.50132377,40
267,150,3,750202,1,637,231,33,42,41,48,168,84,51,143,121,22,1.496571098,0.037414277,6.50442456,5.580047783,6.266330506,5.973731814,15.67546534,40
268,150,3,750202,2,1916,729,89,192,258,103,575,250,200,317,179,138,4.11112158,0.10277804,5.080914673,6.952380201,6.789081983,8.527909331,12.64971381,40
269,150,3,750202,3,673,251,35,84,13,28,174,89,68,150,99,51,1.519793422,0.037994836,3.736271855,5.691027418,6.537877987,7.843271552,16.19155119,40
270,150,3,750203,1,1133,460,47,104,137,71,246,142,108,239,123,116,2.51551546,0.062887887,5.723956906,4.861094975,6.302207796,7.526094443,15.58664588,40
271,150,3,750203,2,81,40,0,0,0,0,16,46,7,9,0,9,0.215861179,0.005396529,0,3.684439477,23.79110704,5.684553961,6.839899524,40
272,150,3,750300,1,878,337,81,102,33,51,258,167,89,110,63,47,1.886471643,0.047161791,5.482578925,6.798223128,9.883199337,8.270135487,9.565863123,40
273,150,3,750300,2,1735,750,76,132,147,79,470,229,191,294,169,125,3.66657481,0.09166437,4.369497934,6.371817048,6.972785364,9.131575538,13.15432412,40
274,150,3,750400,1,1147,454,62,145,90,40,308,150,155,233,141,92,2.639087879,0.065977197,3.073768366,5.801267005,6.345542716,10.29557829,14.48384363,40
275,150,3,750400,2,1567,616,61,101,111,111,364,345,151,279,141,138,3.784036305,0.094600908,5.948845389,4.781587188,10.17876682,6.995110059,12.09569054,40
276,150,3,750400,3,671,272,29,47,79,56,178,88,98,108,82,26,1.623149758,0.040578744,6.996719013,5.451140815,6.052787761,10.58376976,10.91558265,40
277,150,3,750400,4,686,264,27,36,35,56,126,98,78,212,129,83,1.925327389,0.048133185,5.89859306,3.253059046,5.68267543,7.101709657,18.06396281,40
278,150,3,750500,1,1024,416,64,38,68,78,291,144,95,188,115,73,2.346371101,0.058659278,6.741598731,6.164846649,6.851681334,7.097408518,13.14446477,40
279,150,3,750500,2,2443,926,154,228,209,96,662,371,218,508,267,241,5.383698694,0.134592467,3.616225335,6.112279897,7.693510106,7.09820678,15.47977788,40
280,150,3,750500,3,178,68,7,21,10,6,43,23,18,30,14,16,0.349972989,0.008749325,3.476816112,6.107449987,7.337103994,9.015937199,14.06269271,40
281,150,3,750600,1,55,23,0,0,0,0,0,45,0,7,0,7,0.154307452,0.003857686,0,0,32.55794459,0,7.442055412,40
282,150,3,750600,2,206,83,0,25,5,2,68,37,28,29,23,6,0.439558431,0.010988961,0.922737942,7.68985743,9.397589585,11.16642918,10.82338586,40
283,150,3,750600,3,85,33,4,13,18,0,18,8,0,32,26,6,0.175938847,0.004398471,0,5.085536242,5.076444127,0,29.83801963,40
284,150,3,750600,4,97,36,8,7,0,23,59,8,19,38,26,12,0.451372303,0.011284308,10.33374944,6.497452229,1.978729577,7.37889947,13.81116929,40
285,150,3,750700,1,913,349,32,63,65,24,283,112,133,208,72,136,2.221894583,0.055547365,2.190548076,6.331242897,5.627635203,10.49303424,15.35753958,40
286,150,3,750700,2,4,2,0,0,0,0,4,0,0,0,0,0,0.004970797,0.00012427,0,40,0,0,0,40
287,150,3,750801,1,1615,633,73,105,111,158,491,191,133,312,174,138,3.806781667,0.095169542,8.417131561,6.411350399,5.60153125,6.124442633,13.44554416,40
288,150,3,750801,2,1775,687,90,160,120,71,517,365,166,206,106,100,3.593533213,0.08983833,4.006837069,7.15146257,11.33972614,8.097656012,9.404318208,40
289,150,3,750801,3,1174,437,100,150,120,98,408,107,118,129,73,56,2.348715047,0.058717876,8.461760773,8.634870386,5.086099037,8.806930646,9.010339159,40
290,150,3,750801,4,724,283,57,85,31,38,183,98,110,146,81,65,1.774453006,0.044361325,4.342942625,5.126401033,6.165849763,10.86678519,13.49802139,40
291,150,3,750801,5,95,34,0,18,0,0,21,30,8,0,0,0,0.144888178,0.003622204,0,7.204640786,23.11637161,9.678987607,0,40
